Question,Answer,Class,Label
당직근무,철야 동안 부대를 감독 및 관리하는 근무,보직 및 임무편,0
각개전투,"가장 작은 단위의 편제로 수행하는 전투로, 기초군사훈련에서 시행하는 단위 별 전술훈련",보직 및 임무편,0
GOP,남방한계선 철책선에서 24시간 경계근무를 하며 적의 기습에 대비하는 소대단위 초소,보직 및 임무편,0
참호,야전에서 적의 공격에 대비하여 만든 방어 설비,보직 및 임무편,0
야전,산이나 들 따위의 야외에서 벌이는 전투,보직 및 임무편,0
진돗개,적의 국지적 침투 및 도박이 예상될 경우 민군 통합방위작전을 준비하기 위해 발령하는 경계 및 전투태세(총 3단계),군 대비태세,1
진돗개 하나,"침투 및 도발 징후가 확실하거나, 특정 지역에 침투 및 도발 상황이 발생한 상태 (2010년 11월 연평도 포격도발 사건)",군 대비태세,1
진돗개 둘,"침투 및 도발이 예상되거나, 인접지역에서 침투 및 도발 상황이 발생한 상태",군 대비태세,1
진돗개 셋,군사적 긴장은 있으나 침투 및 도발 가능성이 낮은 상태,군 대비태세,1
데프콘,"Defense Readiness Condition, 적의 공격에 대비하는 조직적이고 체계적인 방어준비태세(총 5단계)",군 대비태세,1
