순번,Q,A
2,1.4후퇴,"중공군의 개입으로 인하여 1951년 1월 4일 한국전쟁 중 두 번째로 서울을 포기한 사건을 가리킨다. 인천상륙작전의 성공 이후 국군과 UN군은 빠르게 북진을 계속하여 10월 말에는 한국군이, 11월에는 동부전선의 미군이 압록강까지 도달하였다. 그러나 그 직후 중공군이 한국전쟁에 참전을 결정하여 한반도에 진입, 공격을 개시하였고, 방심한 상태에서 연계가 희박해진 채 각각의 부대가 거의 개별적으로 북진해 올라가던 국군과 UN군은 큰 피해를 입고 남쪽으로 되밀려 내려오게 되었다. 중공군의 맹렬한 공격과 급속한 진격이 이루어지는 상황에서 UN군을 지휘하던 워커 장군이 자동차 사고로 사망하였고 그 후임으로 부임한 리지웨이 장군은 1951년 1월 4일 서울을 포기하고 금강 지역에서 새로운 방어선을 만들 것을 결정하게 되는데, 1.4 후퇴의 명칭은 이 결정이 이루어진 날에서 유래되었다. 이후 1월에 실시된 반격작전으로 수원지역까지 진출한 뒤 2월에 있었던 중공군의 공격을 막아낸 국군과 UN군은 1951년 3월 14일 서울을 재탈환하게 된다."
8,3.5인치 로케트탄,"M20 로켓발사기, 통칭 수퍼바주카라고도 불리는 3.5인치 바주카포의 탄체. 혹은 당 바주카포 그 자체를 가리키기도 한다. 제2차 세계 대전 당시부터 사용되던 종전의 2.36인치 바주카포는 소련군의 T-34에 대해 그다지 효과적이지 못했기 때문에 이를 대체하기 위하여 제2차 세계대전 직후부터 개발이 시작되었으나, 탄두 성형의 어려움으로 인하여 개발이 지체되어 한국전쟁 발발 시기에 이르러서야 개발이 완성되었다. 이후 맥아더 원수의 요청에 의해 7월 3일부터 급거 생산을 시작하였으며, 인민군의 T-34에 대응하기 위한 대전차 무기로 3.5인치 로케트탄을 보급해 줄 것을 건의한 미24사단장 딘 소장의 의견이 극동사령부에 의해 수락되어 7월 10일에 대전에 공수되고 동월 12일에 각 보병중대의 화기소대 및 공병중대에 배치, 이후 대전전투에서 최초로 사용된다. 미 육군에서는 60년대 이후 완전 도태되었으나, 한국군은 장갑차 및 구형전차를 파괴할 수 있다는 이유로 아직 상당수를 예비군용 대전차 화기로 보관하고 있다."
10,38선,"북위 38도선의 준말로, 제 2차 세계대전 이후 미소 양국의 합의에 의해 서로간의 점령지역을 나누었던 경계선을 가리킨다. 이 경계선의 설정 원인에 대해서는 1945년 8월 초, 일본에 선전포고를 한 소련은 약체화되고 기갑전력이 부실했던 관동군을 쉽게 격파하고 급속도로 남하하였고, 당시 가장 가까운 부대조차도 한반도에서는 6000마일 이상 떨어진 오키나와에 주둔하여 한반도에 신속하게 상륙하기 어려웠던 미국측이 소련에 의하여 한반도가 전부 장악되는 것을 막기 위해 딘 러스크 대령 등이 급히 제안하여 38선을 설정하였다는 것이 일반적인 통설이다. 분할선이 북위 38도선으로 정해진 근거는 당시 한반도에 주둔한 일본군의 지휘체계 및 작전구역 분할을 따른 것이라는 설이 일반적으로, 당시 북위 38도선의 이북은 관동군 사령관이, 이남은 (일본군)대본영 아래의 조선군관구 사령관이 관할하고 있었다. 38선이 설정되자 병력 일부가 이미 서울까지 들어와 있었던 소련군은 곧 38선 이북으로 철수하였다. 처음의 38선은 임시적인 군사 분계선이었으나 48년 남북이 별개의 정부를 세우면서부터 실질적인 국경선화되었고, 한국전쟁과 휴전협정의 결과로 인해 38선 대신 만들어진 휴전선이 아직까지 남북한을 갈라 놓고 있다."
11,3군 공통품목 통합군수지원,"육.해.공군 중 2개 군 이상이 공통으로 사용하는 장비 및 물자 등에 대하여 특성을 고려하여 1개 군에서 전담하여 타군을 지원하는 제도를 가리킨다. 기존에 각 군이 별도의 군수지원체계를 유지함에 따라 보급지원체제의 이원화 및 인력예산의 낭비 등과 같은 문제점이 제기되어, 이를 제도적으로 개선하기 위하여 한국군은 1985년도부터 통합군수지원제도를 시행, 현재까지 꾸준하게 발전시켜 왔다. 그 결과 인력의 절감은 물론 공통취급 장비 및 물자를 통합하여 획득 및 보급하고 정비지원을 하게 되어 경제적이고 효율적인 군수지원이 가능해졌다. 또한 1997년 5월에는 3군 공통품목 통합지원규정을 보완하여 보급절차뿐 아니라 수송 및 정비 분야까지 확대한 지원체제를 재정립하였다."
13,6.25전쟁,"1950년 6월 25일 북한군의 전면 남침으로 인하여 한반도를 전장으로 하여 벌어진 전쟁을 가리킨다. 한국전쟁이라고도 한다. 전쟁의 초기에는 기갑전력을 앞세운 북한의 우세한 전력에 후퇴를 거듭하였고, 유엔군이 참전한 이후에도 후퇴가 계속되어 낙동강 전선을 최후 방어선으로 하여 방어전을 전개하게 되었으나, 9월 중순에 실시된 인천상륙작전과 그에 맞추어 개시된 낙동강 전선에서의 유엔군 총반격으로 인하여 전세가 역전되어 9월 말에 서울을 탈환하고 10월에는 38선을 돌파하였다. 이후 쾌속으로 진격을 계속한 끝에 유엔군과 한국군은 압록강까지 진격하였으나, 중국군의 개입으로 되밀려 내려와 한때 서울을 다시 포기하였다가 탈환하였다. 이후 전선은 교착화되어 어느 한 쪽의 일방적 승리가 어려운 상황이 되어갔으며, 1951년의 중국군 춘계대공세가 실패로 끝난 뒤 휴전협정이 제안되었다. 이후 긴 휴전회담 끝에 1953년 7월 27일 휴전협정이 조인됨으로써 전쟁은 휴전이라는 형태로 막을 내리게 되었다. 이 전쟁의 결과로 한반도에서는 좌우의 대립이 극심해졌으며, 분단체제가 고착되는 결과를 초래하였다."
118,가변익항공기,"항공기의 속도에 맞추어 날개의 후퇴각을 변형시키는 방법을 통해 어떤 속도에서도 최상의 비행특성을 얻을 수 있게 한 항공기를 가리킨다. 직선익은 저속에서 유리하며 안정성이 높지만 일정 이상의 속도가 되면 날개가 부러질 위험이 있고, 후퇴익은 아음속에서 유리하지만 저속에서는 전진익보다, 초음속에서는 델타익보다 유리하지 못하다. 델타익은 초음속에서 유리하지만 저속에서의 안정성은 매우 떨어진다. 비행 중의 후퇴각 조정을 통해 이러한 3가지 날개 모두의 장점을 취하는 것이 가변익의 목적으로, 이론상으로는 가장 우수한 날개 형태이나 가변익 가동을 위한 작동 장치나 연결부 구조가 복잡하여 가격 및 유지비용이 높아지고 항공기 자체의 무게도 늘어나기 때문에 일부 항공기에서만 채택하고 있다. 최초의 가변익 항공기는 2차대전 말기 독일에서 개발된 P1101로, 비행중 날개각도의 조절이 가능한 항공기가 목표였으나 완성된 기체는 지상에서 임무에 맞게 각도를 조정한 뒤 비행하는 방식이었는데다, 시험기 1대만 완성된 상태에서 전쟁이 끝나 실제 전장에서는 쓰이지 못했다. 대전 이후 미국에서는 F-111을 시작으로 F-14, B-1등의 가변익 항공기를 개발하여 운용하고 있으며, 이외에 유럽의 토네이도, 소련의 MIG-23,27 등이 개발, 운용되고 있다."
143,가상돌파구,"상세설명 상황을 통제할 능력을 보유하고 있는 상태에서 방어의 지속성을 유지하면서 적에게 돌파를 허용할 수 있는 최대의 허용범위를 가상한 폭과 종심을 말한다. 가상돌파구는 도상작전, 워게임 결과를 기초로 적의 부대 구성과 임무, 지형 및 아군이 가진 저지능력의 정도를 고려하여 구상하게 된다. 이때 적 부대가 직사화기로 통제할 수 있는 범위를 산출하고 이를 고려하여 역습부대의 공격개시선을 결정할 수 있다."
145,가상적국,"한 국가의 국방계획을 위시한 국가전략의 구상시 적국으로 가상되는 나라. 실질적 교전상태가 아니라는 점에서 적국과는 구별된다. 본래 국방계획은 그 작성 및 작전의 실행에 있어 군의 동원, 이동, 결전장의 선택 등에 대한 계획을 미리 구체적으로 작성해야 할 필요가 있기 때문에 가상적국의 설정과 당 가상적국의 상태에 따라 국방계획이 바뀌게 된다. 가상적국의 설정은 국가간 이익의 대립여부, 상대국이 가진 능력과 그 위협성, 역사적 조건 등에 의해 달라지나 실질적으로는 역사적인 조건이나 국제관계, 지리적 요건 등에 의하여 거의 자동적으로 설정되는 경우가 많으며, 이미 잠재적인 전쟁상태에 있는 경우가 많다. 그러나 가상적국의 설정이 반드시 가상적국과의 전쟁만을 전제하고 있는 것은 아니며, 대등 혹은 가능한 한 유리한 상태에서의 안정된 관계 유지나 우호관계의 성립 움직임 등과도 상충되는 것은 아니다."
234,가용보급률,"탄약의 소모율을 나타내는 개념. 작전을 수행하기 위하여 일정한 기간 중에 허용된 보급 한계량을 가리키며, 충분한 소요량의 탄약을 확보하고 있어 통제보급률(CSR)을 적용하지 않아도 될 때 사용한다. 무기를 사격함으로 인해 소모되는 탄약의 화기당 1일 발사 탄 수로 표시된다."
246,가정,"지휘관이 계획을 수립하는 과정에 있어서 상황판단을 완성하고 대응할 방책을 결정하는 데 필요한 예측의 한 부분으로, 현재의 상황이나 장차 일어날 상황 및 사건에 대한 예상으로서 명확한 증거 없이 사실로 간주하는 하나의 가설을 가리킨다. 가정은 계획수립 과정의 전반을 통하여 적용되며, 확실한 증거가 제반 가설의 정당성을 입증할 때는 하나의 사실로 간주된다. 최초에 수립한 가정은 첩보를 통해 추가적으로 이용 가능한 정보가 들어옴에 따라 가정이 사실에 일치하도록 하기 위해서 추가적인 정보를 통한 수정을 가한다. 이러한 수정은 작성중인 계획에도 수정을 필요로 하게 되며 융통성을 위해서 모든 참모부서간에 신속히 전달되고 협조되어야 한다."
